line_number,date,time,home_team,away_team,raw_line,odds_found
1725,2025. június 27,TBD,Spanyolország,Anglia 1:3,Spanyolország - Anglia 1:3,[]
1726,2025. június 27,TBD,Portugália,Hollandia 0:1,Portugália - Hollandia 0:1,[]
1727,2025. június 27,TBD,Németország,Olaszország 3:2 hu.,Németország - Olaszország 3:2 hu.,[]
1728,2025. június 27,TBD,Dánia,Franciaország 2:3,Dánia - Franciaország 2:3,[]
1732,2025. június 27,TBD,Anglia,Hollandia 2:1,Anglia - Hollandia 2:1,[]
2064,2025. június 27,TBD,Futsal,olasz,"Futsal – olasz
Bajnokság, döntő:",[]
2065,2025. június 27,TBD,Napoli,Meta Catania 0:2,Napoli - Meta Catania 0:2,[]
2426,2025. június 27,TBD,FérFi,MALLOrcA,FérFi – MALLOrcA,[]
2454,2025. június 27,TBD,Női,BAd HOMBUrG,Női – BAd HOMBUrG,[]
2459,2025. június 27,TBD,Xu Y,F./Yang Z. 43./70.,Xu Y-F./Yang Z. 43./70.,[]
2462,2025. június 27,TBD,Női,EASTBOUrNE,Női – EASTBOUrNE,[]
2519,2025. június 27,TBD,snookEr,briTish,"snookEr - briTish
opEn-sELEjTEző
Az AjánlAtbAn szereplő játékosok világrAnglistA helyezései:",[]
2530,2025. június 27,TBD,Un,Nooh T. 46.,Un-Nooh T. 46.,[]
3097,2025. június 27,TBD,"Eb, női",nEgyEddöntők,"Eb, női - nEgyEddöntők
ErEdményEi:",[]
3098,2025. június 27,83:61,Franciaország,Litvánia 83:61,Franciaország - Litvánia 83:61,[]
3099,2025. június 27,88:81,Spanyolország,Csehország 88:81,Spanyolország - Csehország 88:81,[]
3100,2025. június 27,76:74,Olaszország,Törökország 76:74 hu.,Olaszország - Törökország 76:74 hu.,[]
3101,2025. június 27,83:59,Belgium,Németország 83:59,Belgium - Németország 83:59,[]
3216,2025.06,TBD,"labdarúgás, gold Cup 2025",ki nyeri,"Hosszútávú fogadás (outri
labdarúgás, gold Cup 2025 - ki nyeri",[]
3222,2025.06,TBD,Szaúd,Arábia 04,Szaúd-Arábia 04,[]
3247,2025.06,05:96,aussie rules,afl,"aussie rules – afl
m gy d v gól p forma
1.Collingwood 14 12 0 2 1305:967 48 6-0-0 |  |  |  |  |  |  |  |",[]
3265,2025. június 27,TBD,skAndináv lottó,26. hét,skAndináv lottó – 26. hét,[]
3267,2025. június 27,TBD,kEnó,26. hét,kEnó – 26. hét,[]
3269,2025. június 27,TBD,40 0036 09 10004411,-- 40 0038 09 10000029,"40 0033 09 10002325 40 0036 09 10004776 40 0036 09 10011492
40 0036 09 10004411 --- 40 0038 09 10000029",[]
3270,2025. június 27,TBD,Puttó,26. hét,Puttó – 26. hét,[]
3273,2025. június 27,TBD,nAPi máZli,26. hét,nAPi máZli – 26. hét,[]
3277,2025. június 27,TBD,az Szerencsejáték Zrt,nek. A felszólamlás benyújtásával kapcsolatos,"Amennyiben a játékos úgy tapasztalja, hogy egy nyerőosztályban
nagynyereményt ért el és átvételi igazolásának azonosítószáma a
nyereményjegyzékben nem szerepel a kifizetendő nyeremények között,
vagy nagynyereményét nem az általa vélt nyerőosztályba sorolták be,
akkor Óvás terjeszthető elő. A Részvételi Szabályzatban megszabott
időpontig az óvást az Szerencsejásték Zrt. Ügyfélszolgálatán telefonon
keresztül, az összes adat felsorolásával kell előterjeszteni.
Amennyiben a játékos úgy tapasztalja, hogy kisnyereménye nem
szerepel a kifizetendő nyeremények között, vagy a nyereménye nem
egyezik az általa vélt nyereménnyel, akkor felszólamlást nyújthat be
az Szerencsejáték Zrt-nek. A felszólamlás benyújtásával kapcsolatos
tudnivalókat az egyes játékok Részvételi Szabályzati tartalmazzák!
Valamely játékban vagy fogadásban elért nyeremények igénylése
a sorsolás – illetve a megfogadott legkésőbbi esemény - napjától
számított 90 napos jogvesztőhatáridőn belül történhet.
A Szerencsemixben megjelenő adatok tájékoztató jellegűek, a hivatalos
fogadási ajánlat és a nyereményjegyzék a www.szerencsejatek.hu
oldalon érhető el.",[]
3338,2025. június 2,TBD,1.Anglia,Hollandia U21 Eb 2-1 1,1.Anglia - Hollandia U21 Eb 2-1 1,[]
3339,2025. június 2,TBD,2.Németország,Franciaország U21 Eb 3-0 1,2.Németország - Franciaország U21 Eb 3-0 1,[]
3340,2025. június 2,TBD,3.Columbus,Atlanta Utd. MLS 3-1 1,3.Columbus - Atlanta Utd. MLS 3-1 1,[]
3341,2025. június 2,TBD,4.Chicago,Philadelphia MLS 0-1 2,4.Chicago - Philadelphia MLS 0-1 2,[]
3342,2025. június 2,TBD,5.Kansas City,Charlotte MLS 2-1 1,5.Kansas City - Charlotte MLS 2-1 1,[]
