date,league,home_team,away_team,odds_home,odds_draw,odds_away,result,total_goals,btts_result
11/08/2023,E0,Burnley,Man City,8,5.5,1.33,A,3,no
12/08/2023,E0,Arsenal,Nott'm Forest,1.18,7,15,H,3,yes
12/08/2023,E0,Bournemouth,West Ham,2.7,3.4,2.55,D,2,yes
12/08/2023,E0,Brighton,Luton,1.33,5.5,9,H,5,yes
12/08/2023,E0,Everton,Fulham,2.2,3.4,3.3,A,1,no
12/08/2023,E0,Sheffield United,Crystal Palace,3,3.3,2.38,A,1,no
12/08/2023,E0,Newcastle,Aston Villa,1.75,3.75,4.6,H,6,yes
13/08/2023,E0,Brentford,Tottenham,2.75,3.4,2.45,D,4,yes
13/08/2023,E0,Chelsea,Liverpool,2.9,3.4,2.38,D,2,yes
14/08/2023,E0,Man United,Wolves,1.33,5.5,9,H,1,no
18/08/2023,E0,Nott'm Forest,Sheffield United,1.95,3.4,4,H,3,yes
19/08/2023,E0,Fulham,Brentford,2.7,3.3,2.63,A,3,no
19/08/2023,E0,Liverpool,Bournemouth,1.2,7,13,H,4,yes
19/08/2023,E0,Wolves,Brighton,4,3.8,1.85,A,5,yes
19/08/2023,E0,Tottenham,Man United,2.8,3.6,2.38,H,2,no
19/08/2023,E0,Man City,Newcastle,1.67,4,5,H,1,no
20/08/2023,E0,Aston Villa,Everton,1.7,4,4.5,H,4,no
20/08/2023,E0,West Ham,Chelsea,3.75,3.5,2,H,4,yes
21/08/2023,E0,Crystal Palace,Arsenal,5.5,4,1.6,A,1,no
25/08/2023,E0,Chelsea,Luton,1.29,5.5,11,H,3,no
26/08/2023,E0,Bournemouth,Tottenham,3.8,3.75,1.91,A,2,no
26/08/2023,E0,Arsenal,Fulham,1.2,7,13,D,4,yes
26/08/2023,E0,Brentford,Crystal Palace,2.15,3.4,3.5,D,2,yes
26/08/2023,E0,Everton,Wolves,2.3,3.3,3.2,A,1,no
26/08/2023,E0,Man United,Nott'm Forest,1.3,6,8,H,5,yes
26/08/2023,E0,Brighton,West Ham,1.53,4.75,5.25,A,4,yes
27/08/2023,E0,Burnley,Aston Villa,3.4,3.4,2.15,A,4,yes
27/08/2023,E0,Sheffield United,Man City,13,8,1.17,A,3,yes
27/08/2023,E0,Newcastle,Liverpool,2.2,3.75,3,A,3,yes
01/09/2023,E0,Luton,West Ham,4.75,3.8,1.73,A,3,yes
02/09/2023,E0,Sheffield United,Everton,2.9,3.25,2.5,D,4,yes
02/09/2023,E0,Brentford,Bournemouth,1.73,3.8,4.75,D,4,yes
02/09/2023,E0,Burnley,Tottenham,3.6,4,1.85,A,7,yes
02/09/2023,E0,Chelsea,Nott'm Forest,1.4,4.5,8.5,A,1,no
02/09/2023,E0,Man City,Fulham,1.17,8,15,H,6,yes
02/09/2023,E0,Brighton,Newcastle,2.5,3.8,2.55,H,4,yes
03/09/2023,E0,Crystal Palace,Wolves,1.91,3.3,4.33,H,5,yes
03/09/2023,E0,Liverpool,Aston Villa,1.65,4.5,4.5,H,3,no
03/09/2023,E0,Arsenal,Man United,1.75,3.8,4.5,H,4,yes
16/09/2023,E0,Wolves,Liverpool,6,5,1.45,A,4,yes
16/09/2023,E0,Aston Villa,Crystal Palace,1.91,3.6,4,H,4,yes
16/09/2023,E0,Fulham,Luton,1.67,3.75,5.5,H,1,no
16/09/2023,E0,Man United,Brighton,2.15,4,2.88,A,4,yes
16/09/2023,E0,Tottenham,Sheffield United,1.29,5.5,11,H,3,yes
16/09/2023,E0,West Ham,Man City,7,4.5,1.45,A,4,yes
16/09/2023,E0,Newcastle,Brentford,1.53,4.2,6,H,1,no
17/09/2023,E0,Bournemouth,Chelsea,4.33,3.75,1.8,D,0,no
17/09/2023,E0,Everton,Arsenal,6,4.5,1.5,A,1,no
18/09/2023,E0,Nott'm Forest,Burnley,2.2,3.5,3.25,D,2,yes
23/09/2023,E0,Crystal Palace,Fulham,1.91,3.4,4.2,D,0,no
23/09/2023,E0,Luton,Wolves,3.25,3.4,2.2,D,2,yes
23/09/2023,E0,Man City,Nott'm Forest,1.14,8.5,15,H,2,no
23/09/2023,E0,Brentford,Everton,1.8,3.8,4.2,A,4,yes
23/09/2023,E0,Burnley,Man United,4.2,4.2,1.73,A,1,no
24/09/2023,E0,Arsenal,Tottenham,1.67,4.33,4.33,D,4,yes
24/09/2023,E0,Brighton,Bournemouth,1.36,5.25,7.5,H,4,yes
24/09/2023,E0,Chelsea,Aston Villa,1.91,3.75,3.8,A,1,no
24/09/2023,E0,Liverpool,West Ham,1.4,5,7,H,4,yes
24/09/2023,E0,Sheffield United,Newcastle,7,4.75,1.44,A,8,no
30/09/2023,E0,Aston Villa,Brighton,2.55,3.75,2.55,H,7,yes
30/09/2023,E0,Bournemouth,Arsenal,5.5,4.5,1.53,A,4,no
30/09/2023,E0,Everton,Luton,1.57,3.8,6.5,A,3,yes
30/09/2023,E0,Man United,Crystal Palace,1.55,4.2,5.75,A,1,no
30/09/2023,E0,Newcastle,Burnley,1.3,5.75,9,H,2,no
30/09/2023,E0,West Ham,Sheffield United,1.45,4.5,7,H,2,no
30/09/2023,E0,Wolves,Man City,8,5.75,1.33,H,3,yes
30/09/2023,E0,Tottenham,Liverpool,2.9,4,2.15,H,3,yes
01/10/2023,E0,Nott'm Forest,Brentford,2.75,3.1,2.7,D,2,yes
02/10/2023,E0,Fulham,Chelsea,3.6,3.5,2.05,A,2,no
03/10/2023,E0,Luton,Burnley,2.9,3,2.63,A,3,yes
07/10/2023,E0,Luton,Tottenham,6,4.75,1.45,A,1,no
07/10/2023,E0,Burnley,Chelsea,4.5,3.8,1.73,A,5,yes
07/10/2023,E0,Everton,Bournemouth,1.91,3.6,3.8,H,3,no
07/10/2023,E0,Fulham,Sheffield United,1.62,3.8,6,H,4,yes
07/10/2023,E0,Man United,Brentford,1.67,4.2,4.75,H,3,yes
07/10/2023,E0,Crystal Palace,Nott'm Forest,2.2,3.1,3.6,D,0,no
08/10/2023,E0,Brighton,Liverpool,3,3.8,2.2,D,4,yes
08/10/2023,E0,West Ham,Newcastle,3.2,3.75,2.1,D,4,yes
08/10/2023,E0,Wolves,Aston Villa,3.5,3.4,2.1,D,2,yes
08/10/2023,E0,Arsenal,Man City,2.9,3.3,2.4,H,1,no
21/10/2023,E0,Liverpool,Everton,1.33,5.75,7.5,H,2,no
21/10/2023,E0,Bournemouth,Wolves,2.38,3.4,3,A,3,yes
21/10/2023,E0,Brentford,Burnley,1.83,3.75,4.2,H,3,no
21/10/2023,E0,Man City,Brighton,1.4,5.25,6.5,H,3,yes
21/10/2023,E0,Newcastle,Crystal Palace,1.45,4.5,7,H,4,no
21/10/2023,E0,Nott'm Forest,Luton,1.67,3.75,5.5,D,4,yes
21/10/2023,E0,Chelsea,Arsenal,3.2,3.4,2.25,D,4,yes
21/10/2023,E0,Sheffield United,Man United,6.5,5.25,1.4,A,3,yes
22/10/2023,E0,Aston Villa,West Ham,1.85,3.6,4,H,5,yes
23/10/2023,E0,Tottenham,Fulham,1.5,4.5,6,H,2,no
27/10/2023,E0,Crystal Palace,Tottenham,4.5,3.75,1.75,A,3,yes
28/10/2023,E0,Chelsea,Brentford,1.65,4,5.25,A,2,no
28/10/2023,E0,Arsenal,Sheffield United,1.13,8.5,19,H,5,no
28/10/2023,E0,Bournemouth,Burnley,2.15,3.5,3.3,H,3,yes
28/10/2023,E0,Wolves,Newcastle,4.2,4,1.75,D,4,yes
29/10/2023,E0,West Ham,Everton,2.15,3.5,3.3,A,1,no
29/10/2023,E0,Aston Villa,Luton,1.25,6.5,9.5,H,4,yes
29/10/2023,E0,Brighton,Fulham,1.55,4.2,5.5,D,2,yes
29/10/2023,E0,Liverpool,Nott'm Forest,1.29,5.75,11,H,3,no
29/10/2023,E0,Man United,Man City,5,3.8,1.67,A,3,no
04/11/2023,E0,Fulham,Man United,3.2,3.6,2.2,A,1,no
04/11/2023,E0,Brentford,West Ham,2.05,3.6,3.5,H,5,yes
